ID,CityCode,CityName,Country,StateID,AirportName,IsRail,Source,Region1,Region2,Region3,Region4,Region5,Latitude,Longitude,ValidFrom,ValidTo
7008,FPY,Perry,692,829,Perry-Foley Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,30.0692997,-83.58059692,NULL,NULL
7009,PYL,Perry Island,692,819,Perry Island SPB,0,NULL,NULL,NULL,NULL,NULL,NULL,60.68529892,-147.9190063,NULL,NULL
7010,KPV,Perryville,692,819,Perryville Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,55.905998,-159.162993,NULL,NULL
7011,PER,Perth,471,869,Perth Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,-31.94029999,115.9670029,NULL,NULL
7012,PSL,Perth,536,NULL,Perth Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,56.43920135,-3.372220039,NULL,NULL
7013,VYS,Peru,692,834,Illinois Valley Regional Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,41.351898,-89.153099,NULL,NULL
7014,GUS,Peru,692,835,Grissom Air Reserve Base,0,NULL,NULL,NULL,NULL,NULL,NULL,40.64810181,-86.15209961,NULL,NULL
7015,PEG,Perugia,569,NULL,Sant Egidio Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,43.095901,12.5132,NULL,NULL
7016,PSR,Pescara,569,NULL,Liberi Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,42.431702,14.1811,NULL,NULL
7017,PEJ,Peschiei,569,NULL,Peschiei Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7018,PEW,Peshawar,637,NULL,Peshawar Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,33.9939003,71.51460266,NULL,NULL
7019,YWA,Petawawa,496,779,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,45.95220184,-77.31919861,NULL,NULL
7020,XVH,Peterborough,536,NULL,Peterborough Rail Station,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7021,YPQ,Peterborough,496,779,Peterborough Arpt,0,NULL,888,890,897,908,915,44.22999954,-78.36329651,NULL,NULL
7022,PSG,Petersburg,692,819,James A Johnson Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,56.80170059,-132.9450073,NULL,NULL
7023,PTB,Petersburg,692,866,Petersburg Municipal Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,37.18379974,-77.50740051,NULL,NULL
7024,PGC,Petersburg,692,871,Grant County Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,38.99489975,-79.14589691,NULL,NULL
7025,PNZ,Petrolina,489,780,Senador Nilo Coelho Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,-9.362409592,-40.56909943,NULL,NULL
7026,PPK,Petropavlovsk,584,NULL,Petropavlovsk Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,54.77470016,69.18389893,NULL,NULL
7027,PKC,Petropavlovsk Kamchatskiy,650,NULL,Petropavlovsk Kamchatskiy Arpt,0,NULL,889,891,901,909,921,53.16790009,158.4539948,NULL,NULL
7028,QPE,Petropolis,489,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7029,PES,Petrozavodsk,650,NULL,Petrozavodsk Arpt,0,NULL,889,891,901,909,921,61.8852005,34.15470123,NULL,NULL
7030,PWE,Pevek,650,NULL,Pevek Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,69.78330231,170.5970001,NULL,NULL
7031,UPF,Pforzheim,516,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7032,PHW,Phalaborwa,707,NULL,Phalaborwa Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,-23.93720055,31.15539932,NULL,NULL
7033,PHA,Phan Rang,700,NULL,Phan Rang,0,NULL,NULL,NULL,NULL,NULL,NULL,11.6335001,108.9520035,NULL,NULL
7034,PHH,Phan Thiet,700,NULL,Phan Thiet Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,10.90639973,108.0690002,NULL,NULL
7035,PMM,Phanom Sarakham,677,NULL,Phanom Sarakham,0,NULL,NULL,NULL,NULL,NULL,NULL,13.7553,101.395,NULL,NULL
7036,PPL,Phaplu,627,NULL,Phaplu Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,27.517787,86.584454,NULL,NULL
7037,PHY,Phetchabun,677,NULL,Pinheiro,0,NULL,NULL,NULL,NULL,NULL,NULL,16.6760006,101.1949997,NULL,NULL
7038,PHZ,Phi Phi Island,677,NULL,Phi Phi Island,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7039,PHL,Philadelphia,692,858,Philadelphia Intl Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,39.87189865,-75.2410965,NULL,NULL
7040,MUV,Philadelphia,692,NULL,Mustin Alf,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7041,PHP,Philip,692,862,Philip Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,44.04859924,-101.598999,NULL,NULL
7042,PSB,Philipsburg,692,858,Midstate Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7043,PZL,Phinda,707,NULL,Zulu Inyala,0,NULL,NULL,NULL,NULL,NULL,NULL,-27.84939957,32.30970001,NULL,NULL
7044,PHS,Phitsanulok,677,NULL,Phitsanulok Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,16.78289986,100.2789993,NULL,NULL
7045,PNH,Phnom Penh,576,NULL,Phnom Penh Intl Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,11.54660034,104.8440018,NULL,NULL
7046,PHX,Phoenix,692,823,Sky Harbor Intl Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,33.43429947,-112.012001,NULL,NULL
7047,AZA,Phoenix City,692,823,Phoenix Mesa Gateway Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,33.30780029,-111.6549988,NULL,NULL
7048,PCQ,Phongsaly,585,NULL,Bounneua,0,NULL,NULL,NULL,NULL,NULL,NULL,21.6475,101.9,NULL,NULL
7049,PHQ,Phosphate Hill,471,NULL,The Monument Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,-21.81110001,139.923996,NULL,NULL
7050,PRH,Phrae,677,NULL,Phrae Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,18.13220024,100.1650009,NULL,NULL
7051,PQC,Phu Quoc,700,NULL,Duong Dang Arpt,0,NULL,889,893,901,911,919,10.1698,103.9931,NULL,NULL
7052,PHU,Phu Vinh,700,NULL,Phu Vinh,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7053,HBN,Phu-Bon,700,NULL,Flamingo,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7054,OAH,Phuc Thinh Sro,460,NULL,Phuc Thinh Sro,0,NULL,NULL,NULL,NULL,NULL,NULL,33.3913002,62.26100159,NULL,NULL
7055,HKT,Phuket,677,NULL,Phuket Intl Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,8.1132,98.316902,NULL,NULL
7056,VSO,Phuoclong,700,NULL,Phuoclong,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7057,QPZ,Piacenza,569,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7058,QPN,Piatra Neamt,648,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7059,CPP,Pica,504,NULL,Coposa Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,-20.7505,-68.683502,NULL,NULL
7060,YVR,Vancouver,496,770,Vancouver Intl Arpt,0,NULL,888,890,897,908,915,49.19390106,-123.1839981,NULL,NULL
7061,PCU,Picayune,692,845,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,30.7859993,-89.50450134,NULL,NULL
7062,LQK,Pickens,692,861,Pickens County Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,34.81000137,-82.70290375,NULL,NULL
